ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
GT-0002,small_airport,Dos Lagunas Airport,1057,NA,GT,GT-PE,Dos Lagunas,null,DON,MGDL,null,"17.6124, -89.6884"
GT-0003,small_airport,El Naranjo Airport,140,NA,GT,GT-ES,El Naranjo,null,ENJ,null,null,"14.106931, -90.817496"
GT-0004,small_airport,Paso Caballos Airport,213,NA,GT,GT-PE,Paso Caballos,null,PCG,MGPC,null,"17.2639007568, -90.25630187990001"
GT-0005,small_airport,El Naranjo Airport,386,NA,GT,GT-PE,El Naranjo,null,null,null,null,"17.228442, -90.811659"
GT-0006,closed,El Petén Airport,774,NA,GT,GT-PE,Tikal,null,null,null,null,"17.22823, -89.605549"
GT-0007,small_airport,Uaxactun Airport,573,NA,GT,GT-PE,Uaxactun,null,UAX,MGUX,null,"17.393888, -89.632744"
GT-0008,small_airport,SANTIAGO,null,NA,GT,GT-SO,null,null,null,null,null,"14.609280294500001, -91.24419093130001"
GT-0009,small_airport,Nebaj,null,NA,GT,GT-QC,null,null,null,null,null,"15.447310102700001, -91.162147522"
GT-0010,small_airport,Chajul Airport,null,NA,GT,GT-QC,Chajul,null,null,null,null,"15.477177, -91.034684"
GT-0011,closed,Barillas,null,NA,GT,GT-HU,null,null,null,null,null,"15.8029075281, -91.32273674010001"
GT-0012,small_airport,Barillas upper,5800,NA,GT,GT-HU,null,null,null,null,null,"15.8162861226, -91.2969017029"
GT-0013,small_airport,San Luis Ixcan Valle Uno Candelaria,null,NA,GT,GT-QC,null,null,null,null,null,"15.798943330199998, -91.087474823"
GT-0014,small_airport,Rancho Pal,null,NA,GT,GT-HU,null,null,null,null,null,"15.8751579288, -91.14309310910001"
GT-0015,small_airport,Xalbal,null,NA,GT,GT-QC,null,null,null,null,null,"15.8692137295, -90.99838256839999"
GT-0016,small_airport,Flore del Norte Airport,null,NA,GT,GT-QC,Flore del Norte,null,null,null,null,"16.0227158087, -91.1113786697"
GT-0017,small_airport,Los Angeles Airstrip,null,NA,GT,GT-QC,Los Angeles,null,null,null,null,"16.043668785199998, -91.06678962710001"
GT-0018,small_airport,Cuarto Pueblo Airport,null,NA,GT,GT-QC,Carto Pueblo,null,null,null,null,"16.0401217826, -90.9766244888"
GT-0019,small_airport,Ixquisis Airport,null,NA,GT,GT-HU,Ixquisis,null,null,null,null,"16.0622276524, -91.4198112488"
GT-0020,small_airport,Nueva Generación Maya Airport,null,NA,GT,GT-HU,Nueva Generación Maya,null,null,null,null,"15.9803081736, -91.18000030520001"
GT-0021,small_airport,Jayabaj Airport,null,NA,GT,GT-QC,Jayabaj,null,null,null,null,"14.9892915638, -90.7983756065"
GT-0022,small_airport,Zacualpa Airport,null,NA,GT,GT-QC,Zacualpa,null,null,null,null,"15.0155103165, -90.8985185623"
GT-0023,small_airport,Canilla Airport,3973,NA,GT,GT-QC,Canillá,null,null,MGCA,null,"15.170063, -90.858736"
GT-0024,small_airport,Uspantan Airport,null,NA,GT,GT-QC,Uspantan,null,null,null,null,"15.342547366900002, -90.8727264404"
GT-0025,small_airport,Chisec Airport,722,NA,GT,GT-AV,Chisec,null,null,MGCS,null,"15.816203, -90.275688"
GT-0026,small_airport,San Pedro Cotija Airport,null,NA,GT,GT-QC,San Pedro Cotija,null,null,null,null,"15.7038619663, -90.88834762569999"
GT-0027,small_airport,Sayaxché Airport,null,NA,GT,GT-PE,Sayaxché,null,null,null,null,"16.52184, -90.195258"
GT-0028,small_airport,El Estor Airport,null,NA,GT,GT-IZ,El Estor,null,null,null,null,"15.517008, -89.368374"
GT-0029,small_airport,Champerico Airport,36,NA,GT,GT-RE,Champerico,null,null,MGCP,null,"14.30694, -91.89955"
GT-0030,small_airport,La Noria Airport,null,NA,GT,GT-ES,Tiquisate,null,null,null,null,"14.26308, -91.35761"
GT-0031,small_airport,Tiquisate Airport,null,NA,GT,GT-ES,Tiquisate,null,null,null,null,"14.27213, -91.34686"
GT-0032,small_airport,Finca El Alamo Airport,null,NA,GT,GT-SM,Ayutla Tecun Uman,null,null,null,null,"14.61875, -92.15506"
GT-0033,small_airport,Macanche Airport,null,NA,GT,GT-PE,Macanche,null,null,null,null,"16.96356, -89.6214"
GT-0034,heliport,Palmas del Ixcan Heliport,null,NA,GT,GT-PE,La Soledad,null,null,null,null,"16.22273, -90.36325"
GT-0035,small_airport,Tikindustrias Airport,null,NA,GT,GT-PE,Las Pozas,null,null,null,null,"16.37362, -90.28819"
GT-0036,small_airport,Industria Chuquibul Airport,null,NA,GT,GT-AV,Playitas,null,null,null,null,"16.03465, -90.39241"
GT-0037,closed,El Zapote Airstrip,1345,NA,GT,GT-PE,El Caoba,null,null,null,null,"17.038803, -89.647343"
GT-0038,closed,Chinaja Airstrip,2359,NA,GT,GT-AV,null,null,null,null,null,"16.042884, -90.231271"
GT-0039,closed,Santa Amelia Southeast Airstrip,462,NA,GT,GT-PE,Santa Amelia,null,null,null,null,"16.231312, -90.025299"
GT-0040,closed,Santa Amelia Airstrip,427,NA,GT,GT-PE,Santa Amelia,null,null,null,null,"16.267003, -90.048838"
GT-0041,closed,La Balsa Airstrip,860,NA,GT,GT-PE,La Palma,null,null,null,null,"16.016901, -89.600801"
GT-0042,closed,San Fernando Airstrip,350,NA,GT,GT-PE,San Fernando,null,null,null,null,"16.775288, -90.770245"
GU-0001,small_airport,Northwest Field,null,OC,GU,GU-U-A,Dededo,null,null,null,null,"13.624787, 144.857358"
GU-0002,closed,Orote Field,null,OC,GU,GU-U-A,Agat,null,null,null,null,"13.438096, 144.641971"
GU-0003,heliport,US Naval Hospital Heliport,null,OC,GU,GU-U-A,Agana Heights,null,null,null,null,"13.474643, 144.74103"
GUBE,small_airport,Beyla Airport,2190,AF,GN,GN-N,Beyla,null,null,GUBE,null,"8.697222, -8.713889"
GUCY,medium_airport,Conakry International Airport,72,AF,GN,GN-C,Conakry,GUCY,CKY,GUCY,null,"9.57689, -13.612"
GUE,small_airport,Guriaso (Keraso) Airport,400,OC,PG,PG-SAN,Guriaso,null,GUE,null,KSO,"-3.583167, 141.5895"
GUFA,small_airport,Fria Airport,499,AF,GN,GN-B,Fria,GUFA,FIG,GUFA,null,"10.3506, -13.5692"
GUFH,small_airport,Faranah Airport,1476,AF,GN,GN-F,Faranah,GUFH,FAA,GUFH,null,"10.0354995728, -10.7698001862"
GUGO,small_airport,Gbenko Airport,2133,AF,GN,GN-F,Banankoro,null,null,GUGO,null,"9.24284, -9.29997"
GUKR,small_airport,Kawass Airport,36,AF,GN,GN-B,Port Kamsar,null,null,GUKR,null,"10.657484, -14.532337"
GUKU,small_airport,Kissidougou Airport,1808,AF,GN,GN-F,Kissidougou,GUKU,KSI,GUKU,null,"9.1605596542358, -10.124400138855"
GULB,small_airport,Tata Airport,3396,AF,GN,GN-L,Labé,GULB,LEK,GULB,null,"11.337512, -12.290869"
GUMA,small_airport,Macenta Airport,1690,AF,GN,GN-N,Macenta,GUMA,MCA,GUMA,null,"8.481456, -9.526048"
GUNZ,small_airport,Nzérékoré Airport,1657,AF,GN,GN-N,Nzérékoré,GUNZ,NZE,GUNZ,null,"7.810413, -8.702073"
GUOK,small_airport,Boké Baralande Airport,164,AF,GN,GN-B,Boké,GUOK,BKJ,GUOK,null,"10.9658, -14.2811"
GUSA,small_airport,Sangarédi Airport,686,AF,GN,GN-B,Sangarédi,null,null,GUSA,null,"11.114558, -13.815834"
GUSB,small_airport,Sambailo Airport,295,AF,GN,GN-B,Koundara,GUSB,SBI,GUSB,null,"12.575315, -13.363349"
GUSI,small_airport,Siguiri Airport,1296,AF,GN,GN-K,Siguiri,GUSI,GII,GUSI,null,"11.399833, -9.18841"
GUXN,small_airport,Kankan Airport,1233,AF,GN,GN-K,Kankan,null,KNN,GUXD,null,"10.448438, -9.228757"
GVAC,large_airport,Amílcar Cabral International Airport,177,AF,CV,CV-B,Espargos,GVAC,SID,GVAC,null,"16.7414, -22.9494"
GVAN,small_airport,Agostinho Neto Airport,32,AF,CV,CV-B,Ponta do Sol,GVAN,NTO,GVAN,null,"17.202800750732422, -25.090599060058594"
GVBA,medium_airport,Rabil Airport,69,AF,CV,CV-B,Rabil,GVBA,BVC,GVBA,null,"16.136499404907227, -22.888900756835938"
GVBR,small_airport,Esperadinha Airport,64,AF,CV,CV-S,Brava Island,GVBR,BVR,GVBR,null,"14.864306, -24.746"
GVMA,medium_airport,Maio Airport,36,AF,CV,CV-S,Vila do Maio,GVMA,MMO,GVMA,null,"15.155900001525879, -23.213699340820312"
GVMT,small_airport,Mosteiros Airport,66,AF,CV,CV-S,Vila do Mosteiros,GVMT,MTI,GVMT,null,"15.045, -24.339199"
GVNP,large_airport,Nelson Mandela International Airport,230,AF,CV,CV-S,Praia,GVNP,RAI,GVNP,null,"14.941126, -23.484728"
GVSF,small_airport,São Filipe Airport,617,AF,CV,CV-S,São Filipe,GVSF,SFL,GVSF,null,"14.8850002289, -24.4799995422"
GVSN,medium_airport,Preguiça Airport,669,AF,CV,CV-B,Preguiça,GVSN,SNE,GVSN,null,"16.588852, -24.284132"
GVSV,medium_airport,São Pedro Airport,66,AF,CV,CV-B,São Pedro,GVSV,VXE,GVSV,null,"16.8332, -25.0553"
GW-0001,small_airport,Piche Airport,236,AF,GW,GW-GA,Piche,null,null,null,null,"12.32008, -13.958281"
GWN,closed,Gnarowein Airport,525,OC,PG,PG-MPL,Gnarowein,null,null,null,null,"-6.555, 146.248"
GWW,closed,Gatow Airport,161,EU,DE,DE-BE,Spandau,null,null,null,null,"52.4744, 13.1381"
GY-0001,closed,Gunns Airstrip,800,SA,GY,GY-UT,null,null,null,null,null,"1.826, -58.584"
GY-0002,small_airport,Krishna Sankar Airport,4,SA,GY,GY-PM,Anna Regina,null,null,SYHC,null,"7.3121, -58.4873"
GY-0003,small_airport,Spring Garden Airstrip,10,SA,GY,GY-PM,Supenaam,null,null,null,null,"6.9851, -58.5005"
GY-0004,small_airport,Fort Wellington Airport,7,SA,GY,GY-MA,Fort Wellington,null,null,null,null,"6.37616, -57.606478"
GY-0005,small_airport,Kako Mountain Airstrip,1738,SA,GY,GY-PT,Kako Mountain,null,null,null,null,"4.628142, -60.056977"
GY-0006,small_airport,Neville Airport,10,SA,GY,GY-EB,Joppa-Macedonia,null,null,null,null,"6.15153, -57.22611"
GY-0007,small_airport,Baiabu Airstrip,13,SA,GY,GY-MA,Baiabu,null,null,null,null,"6.55935, -57.87218"
GY-BCG,small_airport,Bemichi Airport,94,SA,GY,GY-BA,Kumaka,null,BCG,SYBE,null,"7.640212, -58.961786"
GY-BTO,small_airport,Botopasi Airport,242,SA,SR,SR-SI,Botopasi,null,BTO,SMBO,null,"4.217511, -55.447054"
GY-DOE,small_airport,Djumu-Djomoe Airport,290,SA,SR,SR-SI,Djumu-Djomoe,null,DOE,SMDJ,null,"4.005713, -55.481644"
H07,small_airport,Highland-Winet Airport,537,NA,US,US-IL,Highland,null,null,H07,H07,"38.779301, -89.640404"
H11,seaplane_base,Sunbury Seaplane Base,430,NA,US,US-PA,Sunbury,null,null,H11,H11,"40.91310119628906, -76.73300170898438"
H27,small_airport,Gainesville Memorial Airport,1070,NA,US,US-MO,Gainesville,null,null,H27,H27,"36.61259841918945, -92.39990234375"
